Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
Germany,Heinersdorf Solar Power Plant,7.1,51.1292,12.6234,Solar
Germany,Heizkraftwerk Pforzheim GmbH,12.3,48.8971,8.725,Biomass
Germany,Hemfurth,40,51.1671,9.0468,Hydro
Germany,Hengersberg Solar Power Plant,1.5,48.784,13.0793,Solar
Germany,Heretsried Solar Power Plant,2.5,48.4644,10.738,Solar
Germany,Herforst Solar Power Plant,1.6,49.9469,6.6864,Solar
Germany,Herzberg Solar Power Plant,16.4,51.6731,13.2232,Solar
Germany,Hettenleidelheim Solar Power Plant,1.4,49.5418,8.0814,Solar
Germany,Heubach Solar Power Plant,4.8,50.0879,10.7784,Solar
Germany,Himmelstadt Solar Power Plant,4.3,49.9244,9.7401,Solar
Germany,Hinzerath Solar Power Plant,1.4,49.843,7.1833,Solar
Germany,Hohenerxleben Solar Power Plant,1.3,51.8492,11.6594,Solar
Germany,Hohenthurm Solar Power Plant,4.3,51.5258,12.1023,Solar
Germany,Hohenwarte,377.6,50.6038,11.4752,Hydro
Germany,Holzgï¿½nz Solar Power Plant,4.7,48.0228,10.2692,Solar
Germany,Horgau Solar Power Plant,5,48.4009,10.662,Solar
Germany,Humlangen Solar Power Plant,2.5,48.2943,9.9562,Solar
Germany,Humtrup Solar Power Plant,2.9,54.8521,8.8872,Solar
Germany,Hurlach Solar Power Plant,4.3,48.1074,10.8538,Solar
Germany,Hutthurm Solar Power Plant,1.6,48.6586,13.4617,Solar
Germany,HÃ¤usern,100,47.7546,8.1879,Hydro
Germany,HÃ¶chstÃ¤dt,10,48.6032,10.5827,Hydro
Germany,Hï¿½heinï¿½d Solar Power Plant,2.1,49.2862,7.5806,Solar
Germany,Hï¿½rlkofen Solar Power Plant,3.7,48.2391,11.9467,Solar
Germany,Hï¿½ttigweiler Solar Power Plant,2.3,49.3843,7.0614,Solar
Germany,Idenheim Solar Power Plant,3.9,49.8895,6.5593,Solar
Germany,Igenhausen Solar Power Plant,3.7,48.472,11.0329,Solar
Germany,Ilbesheim Solar Power Plant,6.4,49.6931,8.0423,Solar
Germany,Ilfeld Solar Power Plant,5.6,51.5744,10.7796,Solar
Germany,Immenreuth Solar Power Plant,5.8,49.9171,11.8802,Solar
Germany,Inden Solar Power Plant,3.8,50.8436,6.339,Solar
Germany,Ingolstadt,19.8,48.7503,11.4122,Hydro
Germany,Jesserndorf Solar Power Plant,1,50.0923,10.6846,Solar
Germany,Jochenstein,66,48.5196,13.7085,Hydro
Germany,Jocksdorf Solar Power Plant,103.9,51.6597,14.6261,Solar
