Country,Powerplant Name,Capacity (MW),Latitude,Longitude,Primary Fuel
Germany,Bleiloch,79.8,50.5244,11.7144,Hydro
Germany,Blockheizkraftwerk 1,2,49.9882,9.1558,Biomass
Germany,BoA 2,2100,51.0365,6.6133,Coal
Germany,Bochum,20.7,51.4833,7.2167,Gas
Germany,Bogel Solar Power Plant,1.7,50.1886,7.8093,Solar
Germany,Bordelum Solar Power Plant,3.2,54.6194,8.9337,Solar
Germany,Borkum Riffgrund I,312,53.9667,6.55,Wind
Germany,Borna Solar Power Plant,3.5,51.1284,12.4726,Solar
Germany,Bosbï¿½ll Solar Power Plant,4.4,54.8125,8.8474,Solar
Germany,Boxberg power station,2585,51.4163,14.5619,Coal
Germany,Brandenburg (Havel) Solar Power Plant,20,52.4037,12.5165,Solar
Germany,Braschwitz Solar Power Plant,8,51.5183,12.0639,Solar
Germany,Braunau-Simbach,50,48.0638,10.1284,Hydro
Germany,Braunkohlekraftwerk Lippendorf,875,51.1821,12.3733,Coal
Germany,Breitungen Solar Power Plant,3.6,50.7789,10.3287,Solar
Germany,Bremen-Farge power station,350,53.2021,8.5162,Coal
Germany,Brenz Solar Power Plant,7.5,53.3835,11.6402,Solar
Germany,Briest Solar Power Plant,91,52.4371,12.4529,Solar
Germany,Brimingen Solar Power Plant,1.9,49.97,6.3503,Solar
Germany,Brohltal Solar Power Plant,1.5,50.4265,7.2298,Solar
Germany,BrunsbÃ¼ttel,254,53.8925,9.2011,Oil
Germany,Buer power station,70,51.6028,7.0094,Coal
Germany,Buschhaus power station,352,52.1724,10.9768,Coal
Germany,Busenwurth Solar Power Plant,12.2,54.0428,9.0315,Solar
Germany,Butendiek,288,55.019,7.774,Wind
Germany,BÃ¼rgerwindpark im Kirchspiel Medelby,82.23,54.7776,9.1334,Wind
Germany,Bï¿½ttel Solar Power Plant,31.5,53.9145,9.2263,Solar
Germany,Calbe 2 Solar Power Plant,4.3,51.9267,11.8042,Solar
Germany,Calvï¿½rde Solar Power Plant,1.3,52.3847,11.3071,Solar
Germany,Chamerau Solar Power Plant,1.3,49.2032,12.736,Solar
Germany,Charlottenburg,633,52.5219,13.3111,Gas
Germany,Chemiepark Marl power station,136,51.6846,7.1,Coal
Germany,Chemnitz Nord power station,56.8,50.857,12.9231,Coal
Germany,Cismar Solar Power Plant,2.8,54.1976,10.9522,Solar
Germany,Co-Generation,11.5,49.6633,8.3589,Gas
Germany,Coal Plant #1,17.5,51.0489,12.1104,Coal
Germany,Coal Plant #2,18.5,48.5272,8.0868,Coal
Germany,Coburg Solar Power Plant,1.3,50.2133,11.066,Solar
Germany,Cologne-Merkenich power station,75.3,51.0178,6.9643,Coal
Germany,Cottbus CHP power station,74,51.7602,14.37,Coal
Germany,Cottbus Solar Power Plant,3.7,51.7589,14.3668,Solar
Germany,Cottbus-Drewitz Solar Power Plant,29.5,51.8917,14.5305,Solar
Germany,Cronheim Solar Power Plant,2.2,49.0937,10.6776,Solar
Germany,DK Kraftwerk,21,51.4191,6.7385,Other
Germany,DKW Leinau,11.4,47.9125,10.6117,Oil
Germany,DKW Nord,11.4,48.0627,10.4866,Oil
Germany,DT,53.7,51.2228,6.8137,Waste
Germany,Dampfkraftwerk BGH - O1,178,48.1835,12.8531,Gas
Germany,Dampfturbinenanlage der EBS-Kessel,35,51.8026,11.7515,Waste
Germany,Darast Nord Solar Power Plant,3.6,47.9185,10.2164,Solar
Germany,Dedelow Solar Power Plant,3.8,53.3562,13.786,Solar
Germany,Deesen Solar Power Plant,4.1,50.5153,7.6997,Solar
Germany,Deisenhofen Solar Power Plant,1.9,48.6221,10.5402,Solar
Germany,Delitzsch - Fabrikstraï¿½e Solar Power Plant,2.7,51.5165,12.3269,Solar
Germany,Delitzsch - Ziehwerk Solar Power Plant,1.8,51.5154,12.3528,Solar
Germany,Delitzsch Solar Power Plant,32.1,51.509,12.2893,Solar
Germany,Dessau,10.3,47.7393,10.8257,Hydro
Germany,Dessau power station,49,51.8269,12.23,Coal
Germany,Dettingen,11,48.5275,9.3488,Hydro
Germany,Detzem,24,49.8109,6.8439,Hydro
Germany,Deuben power station,86,51.1119,12.0762,Coal
Germany,Dingolfing,15,48.634,12.4837,Hydro
Germany,Dinkelsbï¿½hl Solar Power Plant,2,49.0505,10.3073,Solar
Germany,Dittwar Solar Power Plant,1.8,49.5806,9.6518,Solar
Germany,Dormagen,586.3,51.0791,6.8287,Gas
Germany,Dornau,16.6,47.8002,10.9026,Hydro
Germany,Dortmund,26,51.5197,7.477,Gas
Germany,Dow Stade,173,53.6519,9.5079,Gas
Germany,Driedorf Solar Power Plant,5,50.6473,8.1834,Solar
Germany,Duisburg Hamborn,385,51.491,6.7275,Gas
Germany,Duisburg Ruhrort,315,51.4597,6.7306,Gas
Germany,Dï¿½bern Solar Power Plant,6.3,51.6126,14.6169,Solar
Germany,Dï¿½llstadt Solar Power Plant,6.1,49.7912,10.2599,Solar
Germany,Dï¿½lzig Solar Power Plant,3.9,51.3508,12.2001,Solar
Germany,Dï¿½rrrï¿½hrsdorf Solar Power Plant,1.9,51.0277,14.0108,Solar
Germany,EBKW Knapsack,33.4,50.8577,6.8502,Waste
Germany,EBS-HKW Rostock,17,54.1446,12.1412,Waste
Germany,EBS-Heizkraftwerk,23.5,52.1688,14.6408,Other
Germany,EEV,38,53.4852,9.9696,Oil
Germany,EEW Energy from Waste Hannover GmbH,22.5,52.4118,9.853,Waste
Germany,EEW GroÃŸrÃ¤schen,23.3,51.5929,14.0241,Waste
Germany,EEW GÃ¶ppingen,11,48.6823,9.6713,Waste
Germany,EMSLAND,1406,52.4716,7.3204,Nuclear
Germany,ENERTRAG Netz GmbH (UW Bertikow),20,53.2656,13.95,Biomass
Germany,EVC / GLOBALFOUNDRIES,34.3,51.127,13.715,Gas
Germany,EVE,14.5,52.535,12.3626,Waste
Germany,EZ1,18.5,51.0489,12.1104,Coal
Germany,Ebern - TUP Solar Power Plant,7.1,50.0824,10.7686,Solar
Germany,Eckendorf Solar Power Plant,1.6,49.4455,12.2285,Solar
Germany,Ecklak Solar Power Plant,3.8,53.9246,9.274,Solar
Germany,Eckolstï¿½dt Solar Power Plant,8.5,51.0435,11.6283,Solar
Germany,Eggebek Solar Power Plant,83.2,54.6233,9.3457,Solar
Germany,Egger Kraftwerk Briilon 1,18,51.4067,8.6012,Biomass
Germany,Egger Kraftwerk Briilon 2,13.5,51.4085,8.5999,Gas
Germany,Egglfing,40.4,48.3206,13.3161,Hydro
Germany,Eging am See Solar Power Plant,2.2,48.7159,13.2554,Solar
Germany,Egling Solar Power Plant,6.2,48.1828,11.0063,Solar
Germany,Eiche Solar Power Plant,26.5,52.5627,13.6031,Solar
Germany,Eisenach Solar Power Plant,3.3,51.0023,10.3254,Solar
Germany,Eitting,26,48.3586,11.8822,Hydro
Germany,Ellgau,9.7,48.5967,10.8789,Hydro
