Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Chint Qinghai Golmud,20,36.39,95.193,Solar
China,Chiping Haoji power station,1400,36.4865,116.3336,Coal
China,Chiping Xinfa power station,620,36.6079,116.2456,Coal
China,Chitan,400,26.71,117.12,Hydro
China,Chizhou Jiuhua power station,600,30.7524,117.5909,Coal
China,Chonghu'er,110,48.18,87.152,Hydro
China,Chongming Gas,828,31.59,121.47,Gas
China,Chongqing Baihe power station,600,31.2691,108.4561,Coal
China,Chongqing Chengkou Baiguoping,10,32.1136,108.4286,Hydro
China,Chongqing Chengkou County Jianjiawan,26,32.0149,108.6097,Hydro
China,Chongqing Coal,600,29.4844,106.5395,Coal
China,Chongqing Jinjiaba Hydroelectric,75,28.37,108.41,Hydro
China,Chongqing Lee & Man Paper power station,150,29.0363,105.855,Coal
China,Chongqing Liujiagou Hydro,20,31.4047,109.5194,Hydro
China,Chongqing Longqiao power station,400,29.7079,107.304,Coal
China,Chongqing Longshui Hydro,8,31.5375,108.8703,Hydro
China,Chongqing Nine Dragons Cogen power station,180,29.2918,106.3968,Coal
China,Chongqing Pingxiang Coal Mine Methane,3,28.6903,106.8542,Gas
China,Chongqing Qijiang Zhutan,8,28.9239,106.6833,Hydro
China,Chongqing Qineng power station,660,29.0043,106.5688,Coal
China,Chongqing Shizhu County Yangdong River (Dukou),48,30.2686,110.6072,Hydro
China,Chongqing Shizhu power station,700,30.3907,108.2201,Coal
China,Chongqing Shuanghuai power station,1920,30.1621,106.5474,Coal
China,Chongqing Wanzhou Xiangjiazui,12,30.7544,108.7092,Hydro
China,Chongqing Wulong Quantang,6,29.4908,107.7335,Hydro
China,Chongqing Wuxi Yushan Hydro,4,31.4383,109.8306,Hydro
China,Chongqing Youyang County Youchou,120,28.967,109.148,Hydro
China,Chuangyuan Smelter power station,990,45.4373,119.4275,Coal
China,Chuanjiang,98.8,41.97,108.3,Wind
China,Chuanjing Inner Mongolia Luneng Phase 2,49,41.9878,107.9239,Wind
China,Chuanjingsumu 4 Wind,49,41.9589,108.2972,Wind
China,Chuhe,276,32.93,109.7,Hydro
China,Chunduole,24,28.0761,98.9019,Hydro
China,Coloane A,271,22.14,113.58,Oil
China,Coloane B,136.4,22.14,113.58,Gas
China,Cwi Shangyi Shijing Phase 1,49,41.2456,114.2431,Wind
China,Da Chao Shan,1350,24.0256,100.3698,Hydro
China,Daan Haituo Phase 1,49,45.2737,123.7123,Wind
China,Daan Haituo Phase 2,49,45.2172,123.718,Wind
China,Daan Laifu Phase 2,49,45.6028,123.6178,Wind
China,Daan Laifu Phase 3,49,45.6281,123.6558,Wind
China,Daba power station,2520,37.9897,105.9258,Coal
China,Dabancheng Wind Farm,500,43.6,87.854,Wind
China,Dabu Coal,1200,24.5852,113.5831,Coal
China,Dacaoba Mian Countychina,3,33.2464,106.7042,Hydro
China,Daditaihong Wind Power Farm Phase 2,49,41.975,114.342,Wind
China,Dadonggou,121.5,41.1,112.69,Wind
China,Dafang power station,1200,27.1014,105.5658,Coal
China,Dafutan,195,27.98,110.27,Hydro
China,Dagangshan,2600,29.45,102.22,Hydro
China,Daguangba,240,19.02,108.98,Hydro
China,Daguangdingzishan Wind,49,42.65,117.8,Wind
China,Dagushan,65,38.4558,100.0247,Hydro
China,Dahao Wind,20,23.2407,116.794,Wind
China,Dahe Solar,50,41.0667,114.3833,Solar
China,Dahua,600,23.85,108.13,Hydro
China,Dahuashui,200,26.82,107.26,Hydro
China,Daihai power station,2430,40.5204,112.6674,Coal
China,Daimangou,50.5,44.75,130.9,Wind
China,Dala River Estuary Plant Diebu County,52,33.972,103.512,Hydro
China,Dalate power station,3180,40.367,109.997,Coal
China,Dali (Maolin),91.86,43.41,116.26,Wind
China,Dalian ETDC power station,700,39.0353,121.8157,Coal
China,Dalian Ganjingzi power station,600,39.0262,121.5494,Coal
China,Dalian Taishan power station,270,38.9081,121.5535,Coal
China,Dalian Tuchengzi Wind,30,40.01,121.84,Wind
China,Dalian Tuoshan Wafangdian,49,39.8067,121.6444,Wind
China,Dalian Tuoshan Wind,49,39.8333,121.6083,Wind
China,Dalinjiang,37,25.2908,111.6158,Hydro
China,Dandong Jinshan power station,600,40.1055,124.3192,Coal
China,Danghe Upstream 3rd Cascade,20,39.3828,95.2561,Hydro
China,Dangtang Shendong power station,700,41.7566,123.6365,Coal
China,Danjiangkou,900,32.56,111.49,Hydro
China,Daode Wind,49,44.0102,114.2493,Wind
China,Daqing Ethylene Plant power station,320,46.4449,125.2246,Coal
China,Daqing Oil Central power station,900,46.5524,125.0734,Coal
China,Daqing Oil Hongwei power station,200,46.5749,124.8213,Coal
China,Dashantai Phase 2 Wind,49,39.6517,112.2689,Wind
China,Datang 803 power station,600,40.2089,97.359,Coal
China,Datang Anhui Huainan Tianjiaan power station,640,32.6691,117.0253,Coal
China,Datang Anyang-2 power station,1240,36.1195,114.2758,Coal
China,Datang Anzishan Wind,45,34.791,111.587,Wind
China,Datang Baoding cogen power station,650,38.8753,115.4332,Coal
China,Datang Baoji power station,660,34.3819,107.2942,Coal
China,Datang Bazhou Bohu Phase I,20,41.74,86.893,Solar
