Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Chuanjingsumu 4 Wind,49,41.9589,108.2972,Wind
China,Chuhe,276,32.93,109.7,Hydro
China,Chunduole,24,28.0761,98.9019,Hydro
China,Cwi Shangyi Shijing Phase 1,49,41.2456,114.2431,Wind
China,Da Chao Shan,1350,24.0256,100.3698,Hydro
China,Daan Haituo Phase 1,49,45.2737,123.7123,Wind
China,Daan Haituo Phase 2,49,45.2172,123.718,Wind
China,Daan Laifu Phase 2,49,45.6028,123.6178,Wind
China,Daan Laifu Phase 3,49,45.6281,123.6558,Wind
China,Dabancheng Wind Farm,500,43.6,87.854,Wind
China,Dacaoba Mian Countychina,3,33.2464,106.7042,Hydro
China,Daditaihong Wind Power Farm Phase 2,49,41.975,114.342,Wind
China,Dadonggou,121.5,41.1,112.69,Wind
China,Dafutan,195,27.98,110.27,Hydro
China,Dagangshan,2600,29.45,102.22,Hydro
China,Daguangba,240,19.02,108.98,Hydro
China,Daguangdingzishan Wind,49,42.65,117.8,Wind
China,Dagushan,65,38.4558,100.0247,Hydro
China,Dahao Wind,20,23.2407,116.794,Wind
China,Dahe Solar,50,41.0667,114.3833,Solar
China,Dahua,600,23.85,108.13,Hydro
China,Dahuashui,200,26.82,107.26,Hydro
China,Daimangou,50.5,44.75,130.9,Wind
China,Dala River Estuary Plant Diebu County,52,33.972,103.512,Hydro
China,Dali (Maolin),91.86,43.41,116.26,Wind
China,Dalian Tuchengzi Wind,30,40.01,121.84,Wind
China,Dalian Tuoshan Wafangdian,49,39.8067,121.6444,Wind
China,Dalian Tuoshan Wind,49,39.8333,121.6083,Wind
China,Dalinjiang,37,25.2908,111.6158,Hydro
China,Danghe Upstream 3rd Cascade,20,39.3828,95.2561,Hydro
China,Danjiangkou,900,32.56,111.49,Hydro
China,Daode Wind,49,44.0102,114.2493,Wind
China,Dashantai Phase 2 Wind,49,39.6517,112.2689,Wind
China,Datang Anzishan Wind,45,34.791,111.587,Wind
China,Datang Bazhou Bohu Phase I,20,41.74,86.893,Solar
China,Datang Changqing Phase 1 Wind,49,36.328,116.599,Wind
China,Datang Changqing Phase 2 Wind,49,36.348,116.654,Wind
China,Datang Changyi Phase 1,49,37.132,121.08,Wind
China,Datang Chifeng Bolike Ii Wind,49,42.6333,118.0167,Wind
China,Datang Chifeng Danianzi Wind,49,42.62,117.93,Wind
China,Datang Delingha,10,37.3445,97.1769,Solar
China,Datang Dongping Wind,49,37.028,116.22,Wind
China,Datang Duolun Daxishan Farm Ii,30,42.258,116.3391,Wind
China,Datang Duolun Daxishan Phase 3,49,42.2742,116.3378,Wind
China,Datang Guangyuan Fangdiping,30,32.535,105.7703,Wind
China,Datang Haiyang Xujiadian Phase 1,49,37.1208,121.0525,Wind
China,Datang Hami,20,43.01,93.602,Solar
China,Datang Jia County Yunyang,34,33.8772,113.3644,Wind
China,Datang Jiaonan Liuwang Phase 1,49,35.9367,119.735,Wind
China,Datang Jiaonan Liuwang Phase 2 Wind,49,35.9612,119.8183,Wind
China,Datang Jilin Datong,49,45.413,122.417,Wind
China,Datang Jilin Shuangliao,49,43.5218,123.2,Wind
China,Datang Jixian Taiping Wind,49,46.875,130.75,Wind
China,Datang Kazuo Shuangmiao,49,41.1065,119.6645,Wind
China,Datang Kezuohouqi Hariwusu,49,42.921,122.441,Wind
